rank,country_iso,institution_name,assets_usd_m,pct_national_fin_system,pct_national_cu_system,pct_latam_cu_system,data_source,data_period
1,MEX,Caja Popular Mexicana,5360.6,0.0071,0.371,0.0245,DGRV Nov 2025,Dec 2024
2,CHL,Coopeuch,3587.4,0.0088,0.8354,0.0164,DGRV Nov 2025,Dec 2024
3,ECU,Juventud Ecuatoriana Progresista,3493.1,0.0334,0.1297,0.016,DGRV Nov 2025,Dec 2024
4,BRA,CREDICITRUS,2554.3,0.0009,0.0197,0.0117,DGRV Nov 2025,Dec 2024
5,BRA,VIACREDI,2343.5,0.0008,0.018,0.0107,DGRV Nov 2025,Dec 2024
6,BRA,SICOOB COCRED,2078.6,0.0007,0.016,0.0095,DGRV Nov 2025,Dec 2024
7,CR,COOPENAE,2001.1,0.0242,0.2676,0.0091,DGRV Nov 2025,Dec 2024
8,BRA,SICREDI DEXIS,1970.9,0.0007,0.0152,0.009,DGRV Nov 2025,Dec 2024
9,BRA,SICREDI OURO VERDE MT,1842.9,0.0007,0.0142,0.0084,DGRV Nov 2025,Dec 2024
10,BRA,SICREDI VALE DO PIQUIRI,1832.2,0.0006,0.0141,0.0084,DGRV Nov 2025,Dec 2024
11,ECU,JARDIN AZUAYO,1774.3,0.017,0.0659,0.0081,DGRV Nov 2025,Dec 2024
12,CR,COOPEALIANZA,1664.0,0.0201,0.2225,0.0076,DGRV Nov 2025,Dec 2024
13,RD,COOPNAMA,1634.5,0.0266,0.3355,0.0075,DGRV Nov 2025,Dec 2024
14,ECU,POLICIA NACIONAL,1500.0,0.0144,0.0557,0.0069,DGRV Nov 2025,Dec 2024
15,CR,COOPEANDE No 1,1488.0,0.018,0.199,0.0068,DGRV Nov 2025,Dec 2024
