loan_category,q1_2025_usd_b,q4_2024_usd_b,q2_2024_usd_b,q1_2024_usd_b,data_source
New Auto,165.2,168.4,171.6,177.4,TruStage CU Trends June 2025
Used Auto,322.0,323.6,325.9,328.2,TruStage CU Trends June 2025
Total Auto,487.2,492.0,497.5,505.6,TruStage CU Trends June 2025
Unsecured (ex CCs),70.1,73.0,70.4,70.2,TruStage CU Trends June 2025
Credit Cards,85.1,87.3,82.9,82.7,TruStage CU Trends June 2025
1st Mortgage,602.3,613.8,591.0,586.1,TruStage CU Trends June 2025
Other Real Estate,163.4,160.7,145.9,136.6,TruStage CU Trends June 2025
Total Real Estate,765.7,774.5,736.9,722.7,TruStage CU Trends June 2025
Member Business Loans,181.8,249.9,249.9,246.7,TruStage CU Trends June 2025
TOTAL LOANS,1668.4,1677.1,1641.4,1629.8,TruStage CU Trends June 2025
